ACTIVITY_DATE,COHORT_YM,RETAINED_ACCOUNTS,RETAINED_REV,RETAINED_GMV
2015-01-01,2023-06-01,0,0,0
2016-01-01,2023-06-01,0,0,0
2017-01-01,2023-06-01,0,0,0
2018-01-01,2023-06-01,0,0,0
2019-01-01,2023-06-01,0,0,0
2020-01-01,2023-06-01,0,0,0
2021-01-01,2023-06-01,0,0,0
2022-01-01,2023-06-01,0,0,0
2023-01-01,2023-06-01,14,520091,12883356
2024-01-01,2023-06-01,10,519511,12869113
2015-01-01,2023-07-01,0,0,0
2016-01-01,2023-07-01,0,0,0
2017-01-01,2023-07-01,0,0,0
2018-01-01,2023-07-01,0,0,0
2019-01-01,2023-07-01,0,0,0
2020-01-01,2023-07-01,0,0,0
2021-01-01,2023-07-01,0,0,0
2022-01-01,2023-07-01,0,0,0
2023-01-01,2023-07-01,19,461357,39903969
2024-01-01,2023-07-01,19,461357,39903969
2015-01-01,2023-08-01,0,0,0
2016-01-01,2023-08-01,0,0,0
2017-01-01,2023-08-01,0,0,0
2018-01-01,2023-08-01,0,0,0
2019-01-01,2023-08-01,0,0,0
2020-01-01,2023-08-01,0,0,0
2021-01-01,2023-08-01,0,0,0
2022-01-01,2023-08-01,0,0,0
2023-01-01,2023-08-01,22,1979495,67565873
2024-01-01,2023-08-01,22,1979495,67565873
2015-01-01,2023-09-01,0,0,0
2016-01-01,2023-09-01,0,0,0
2017-01-01,2023-09-01,0,0,0
2018-01-01,2023-09-01,0,0,0
2019-01-01,2023-09-01,0,0,0
2020-01-01,2023-09-01,0,0,0
2021-01-01,2023-09-01,0,0,0
2022-01-01,2023-09-01,0,0,0
2023-01-01,2023-09-01,20,3921401,437141472
2024-01-01,2023-09-01,20,3921401,437141472
2015-01-01,2023-10-01,0,0,0
2016-01-01,2023-10-01,0,0,0
2017-01-01,2023-10-01,0,0,0
2018-01-01,2023-10-01,0,0,0
2019-01-01,2023-10-01,0,0,0
2020-01-01,2023-10-01,0,0,0
2021-01-01,2023-10-01,0,0,0
2022-01-01,2023-10-01,0,0,0
2023-01-01,2023-10-01,19,90231,5419891
2024-01-01,2023-10-01,19,90231,5419891
2015-01-01,2023-11-01,0,0,0
2016-01-01,2023-11-01,0,0,0
2017-01-01,2023-11-01,0,0,0
2018-01-01,2023-11-01,0,0,0
2019-01-01,2023-11-01,0,0,0
2020-01-01,2023-11-01,0,0,0
2021-01-01,2023-11-01,0,0,0
2022-01-01,2023-11-01,0,0,0
2023-01-01,2023-11-01,17,1455312,61141251
2024-01-01,2023-11-01,17,1455312,61141251
2015-01-01,2023-12-01,0,0,0
2016-01-01,2023-12-01,0,0,0
2017-01-01,2023-12-01,0,0,0
2018-01-01,2023-12-01,0,0,0
2019-01-01,2023-12-01,0,0,0
2020-01-01,2023-12-01,0,0,0
2021-01-01,2023-12-01,0,0,0
2022-01-01,2023-12-01,0,0,0
2023-01-01,2023-12-01,23,11435036,364264707
2024-01-01,2023-12-01,23,11435036,364264707
2015-01-01,2024-01-01,0,0,0
2016-01-01,2024-01-01,0,0,0
2017-01-01,2024-01-01,0,0,0
2018-01-01,2024-01-01,0,0,0
2019-01-01,2024-01-01,0,0,0
2020-01-01,2024-01-01,0,0,0
2021-01-01,2024-01-01,0,0,0
2022-01-01,2024-01-01,0,0,0
2023-01-01,2024-01-01,0,0,0
2024-01-01,2024-01-01,23,2569,10135529
2015-01-01,2024-02-01,0,0,0
2016-01-01,2024-02-01,0,0,0
2017-01-01,2024-02-01,0,0,0
2018-01-01,2024-02-01,0,0,0
2019-01-01,2024-02-01,0,0,0
2020-01-01,2024-02-01,0,0,0
2021-01-01,2024-02-01,0,0,0
2022-01-01,2024-02-01,0,0,0
2023-01-01,2024-02-01,0,0,0
2024-01-01,2024-02-01,9,0,2758639
2015-01-01,2024-03-01,0,0,0
2016-01-01,2024-03-01,0,0,0
2017-01-01,2024-03-01,0,0,0
2018-01-01,2024-03-01,0,0,0
2019-01-01,2024-03-01,0,0,0
2020-01-01,2024-03-01,0,0,0
2021-01-01,2024-03-01,0,0,0
2022-01-01,2024-03-01,0,0,0
2023-01-01,2024-03-01,0,0,0
2024-01-01,2024-03-01,9,0,107091896
2015-01-01,2024-04-01,0,0,0
2016-01-01,2024-04-01,0,0,0
2017-01-01,2024-04-01,0,0,0
2018-01-01,2024-04-01,0,0,0
2019-01-01,2024-04-01,0,0,0
2020-01-01,2024-04-01,0,0,0
2021-01-01,2024-04-01,0,0,0
2022-01-01,2024-04-01,0,0,0
2023-01-01,2024-04-01,0,0,0
2024-01-01,2024-04-01,2,0,271740
